id,Expenditure,N
64,Total.Rice.Expenditure,44117
64,Meat.Expenditure,18616
64,Total.Fish.and..marine.products.Expenditure,9390
64,Fruit.Expenditure,2460
64,Vegetables.Expenditure,9980
65,Bread.and.Cereals.Expenditure,31888
65,Total.Rice.Expenditure,27706
65,Meat.Expenditure,8885
65,Total.Fish.and..marine.products.Expenditure,7719
65,Fruit.Expenditure,2300
65,Vegetables.Expenditure,7095
66,Bread.and.Cereals.Expenditure,44135
66,Total.Rice.Expenditure,38734
66,Meat.Expenditure,15810
66,Total.Fish.and..marine.products.Expenditure,7427
66,Fruit.Expenditure,2040
66,Vegetables.Expenditure,5665
67,Bread.and.Cereals.Expenditure,41207
67,Total.Rice.Expenditure,35999
67,Meat.Expenditure,11649
67,Total.Fish.and..marine.products.Expenditure,11688
67,Fruit.Expenditure,2530
67,Vegetables.Expenditure,6539
68,Bread.and.Cereals.Expenditure,25390
68,Total.Rice.Expenditure,21694
68,Meat.Expenditure,8073
68,Total.Fish.and..marine.products.Expenditure,7887
68,Fruit.Expenditure,1820
68,Vegetables.Expenditure,7732
69,Bread.and.Cereals.Expenditure,26806
69,Total.Rice.Expenditure,21468
69,Meat.Expenditure,9174
69,Total.Fish.and..marine.products.Expenditure,7091
69,Fruit.Expenditure,1410
69,Vegetables.Expenditure,6635
70,Bread.and.Cereals.Expenditure,33631
70,Total.Rice.Expenditure,25356
70,Meat.Expenditure,9303
70,Total.Fish.and..marine.products.Expenditure,14685
70,Fruit.Expenditure,2323
70,Vegetables.Expenditure,7862
71,Bread.and.Cereals.Expenditure,40476
71,Total.Rice.Expenditure,31977
71,Meat.Expenditure,8840
71,Total.Fish.and..marine.products.Expenditure,9878
71,Fruit.Expenditure,1550
71,Vegetables.Expenditure,7251
72,Bread.and.Cereals.Expenditure,31837
72,Total.Rice.Expenditure,27567
72,Meat.Expenditure,10385
72,Total.Fish.and..marine.products.Expenditure,9131
72,Fruit.Expenditure,2130
72,Vegetables.Expenditure,6015
73,Bread.and.Cereals.Expenditure,50073
73,Total.Rice.Expenditure,36779
73,Meat.Expenditure,14649
73,Total.Fish.and..marine.products.Expenditure,15119
73,Fruit.Expenditure,2815
73,Vegetables.Expenditure,7641
74,Bread.and.Cereals.Expenditure,40091
74,Total.Rice.Expenditure,26531
74,Meat.Expenditure,10822
74,Total.Fish.and..marine.products.Expenditure,12136
74,Fruit.Expenditure,2340
74,Vegetables.Expenditure,9261
75,Bread.and.Cereals.Expenditure,38181
75,Total.Rice.Expenditure,30368
75,Meat.Expenditure,9279
75,Total.Fish.and..marine.products.Expenditure,10968
75,Fruit.Expenditure,1440
75,Vegetables.Expenditure,7387
76,Bread.and.Cereals.Expenditure,42158
